"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","EG.seed","SP.adult","SP.seed","BH","BD","Avena","FEMY","BRADIS","Forb","Fabaceae","GAST","Density","BG.spp","rust","prop.dam.mini","mean.dam.mini","treat","prop.dam","mean.dam"
"EG","X598",0,"",55,1,8,2,0,50,3,11.1111111111111,0,50,66.6666666666667,10,0,2,"SP adult","0",NA,NA,"inoculation",1,0.007
"EG","X811",0,"",49,1,6,3,0,46.6666666666667,6,8.33333333333333,40,50,25,6,0,4,"SP adult","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"EG","X603",0,"",61,9,4,1,2,14,3,7,10,7,15,0,0,10,"EG adults","0",NA,NA,"inoculation",0.666666666666667,0.00366666666666667
"SP","X607",0,"",61,9,4,1,2,14,3,7,10,7,15,0,0,10,"EG adults","0",NA,NA,"inoculation",0.333333333333333,0.000333333333333333
"SP","X608",0,"",61,9,4,1,2,14,3,7,10,7,15,0,0,10,"EG adults","0",NA,NA,"inoculation",0.666666666666667,0.00366666666666667
"EG","X609",0,"",62,0,4,1,1,7.77777777777778,7,26.6666666666667,7,50,124.444444444444,8,0,40,"BD seed","0",NA,NA,"inoculation",1,0.007
"EG","X610",0,"",62,0,4,1,1,7.77777777777778,7,26.6666666666667,7,50,124.444444444444,8,0,40,"BD seed","0",NA,NA,"inoculation",1,0.0233333333333333
"EG","X616",0,"",63,1,5,1,2,3,7,17,0,160,39,11,0,10,"BD seed","0",NA,NA,"fungicide",0.666666666666667,0.00366666666666667
"SP","X620",0,"",63,1,5,1,2,3,7,17,0,160,39,11,0,10,"BD seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"EG","X816",0,"",37,1,4,7,6,6,5,4,0,1.2,15,12,0,8,"SP adult","0",NA,NA,"inoculation",0.666666666666667,0.00366666666666667
"SP","X817",0,"",37,1,4,7,6,6,5,4,0,1.2,15,12,0,8,"SP adult","0",NA,NA,"inoculation",0.666666666666667,0.00666666666666667
"SP","X624",0,"",64,1,0,0,1,2,0,31.1111111111111,0,200,8,11,0,40,"AB seed","0",NA,NA,"ambient",1,0.0055
"EG","X628",0,"",65,1,80,1,2,6,0,31.1111111111111,0,200,22,13,0,100,"EG seed","0",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"SP","X630",0,"",65,1,80,1,2,6,0,31.1111111111111,0,200,22,13,0,100,"EG seed","0",NA,NA,"inoculation",0.333333333333333,0.000333333333333333
"EG","X637",0,"",66,4,2,2,2,13.3333333333333,1,9,0,90,10,10,0,8,"EG adults","0",NA,NA,"fungicide",1,0.01
"EG","X644",0,"",67,6,2,1,0,21,2,12,0,90,8,10,0,6,"EG adults","0",NA,NA,"fungicide",0,0
"EG","X645",0,"",67,6,2,1,0,21,2,12,0,90,8,10,0,6,"EG adults","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"EG","X650",0,"",68,1,4,1,0,1330,2,13,0,9,6,12,0,20,"BH seed","0",NA,NA,"ambient",1,0.004
"EG","X654",0,"",69,1,0,1,1,450,1,35.5555555555556,0,0,9,10,0,10,"BH seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"SP","X653",0,"",69,1,0,1,1,450,1,35.5555555555556,0,0,9,10,0,10,"BH seed","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"SP","X657",0,"",69,1,0,1,1,450,1,35.5555555555556,0,0,9,10,0,10,"BH seed","0",NA,NA,"fungicide",0.666666666666667,0.00366666666666667
"EG","X661",0,"",70,0,33.3333333333333,1,1,40,1,9,0,100,10,7,0,80,"EG seed","0",NA,NA,"ambient",1,0.004
"SP","X664",0,"",70,0,33.3333333333333,1,1,40,1,9,0,100,10,7,0,80,"EG seed","0",NA,NA,"ambient",0.666666666666667,0.017
"EG","X663",0,"",70,0,33.3333333333333,1,1,40,1,9,0,100,10,7,0,80,"EG seed","1",NA,NA,"ambient",0.666666666666667,0.00666666666666667
"EG","X667",0,"",71,1,1,2,1,180,0,10,0,160,10,15,0,20,"BH seed","0",NA,NA,"inoculation",1,0.007
"SP","X666",0,"",71,1,1,2,1,180,0,10,0,160,10,15,0,20,"BH seed","0",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"EG","X670",0,"",71,1,1,2,1,180,0,10,0,160,10,15,0,20,"BH seed","0",NA,NA,"inoculation",0.333333333333333,0.00333333333333333
