"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","EG.seed","SP.adult","SP.seed","BH","BD","Avena","FEMY","BRADIS","Forb","Fabaceae","GAST","Density","BG.spp","rust","prop.dam.mini","mean.dam.mini","treat","prop.dam","mean.dam"
"AB","X624",124,"AB",66,4,2,2,2,13.3333333333333,1,9,0,90,10,10,0,8,"EG adults","0",NA,NA,"ambient",1,0.0055
"AB","X1631",64,"AB",191,1,0,1,1,420,240,7,10,2.77777777777778,8.88888888888889,3,0,80,"BD seed","0",NA,NA,"ambient",0.666666666666667,0.000666666666666667
"AB","X1509",286,"AF",187,1,5,1,0,12,66.1111111111111,5,0,80,41.6666666666667,0,4,80,"BD seed","0",NA,NA,"fungicide",0.666666666666667,0.00366666666666667
"AB","X1568",82,"AB",182,1,1,1,2,1995,1,14,0,30,5,0,0,100,"BH seed","0",NA,NA,"fungicide",1,0.001
"AB","X709",48,"AF",78,0,1,1,0,16.6666666666667,0,17.7777777777778,6,135,25,12,0,40,"AB seed","0",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"AB","X1380",122,"AF",167,1,3,1,1,9,4,30,0,120,4,0,0,40,"AB seed","0",NA,NA,"ambient",0.333333333333333,0.000333333333333333
"AB","X777",38,"AB",73,1,8,1,0,17,4,18,0,75,30,26,0,40,"EG seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X1220",74,"AF",140,2,20,0,1,22.2222222222222,1,7,0,75,9,5,0,10,"EG seed","1",NA,NA,"ambient",1,0.004
"AB","X813",102,"AF",37,1,4,7,6,6,5,4,0,1.2,15,12,0,8,"SP adult","1",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"AB","X1350",88,"AB",161,1,75,1,1,77.7777777777778,0,11,0,0,30,3,0,100,"EG seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X623",30,"AF",64,1,0,0,1,2,0,31.1111111111111,0,200,8,11,0,40,"AB seed","1",NA,NA,"ambient",1,0.007
"AB","X1424",28,"AB",179,0,3,1,3,5,1,25,5,150,10,0,0,80,"SP seed","1",NA,NA,"inoculation",1,0.001
"AB","X725",144,"AB",80,1,0,2,2,31.1111111111111,0,6.66666666666667,0,490,12,13.3333333333333,0,10,"BH seed","1",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"AB","X981",22,"AF",112,1,5,1,0,1235,1,66.1111111111111,0,30,12,15,0,40,"BH seed","0",NA,NA,"ambient",NA,NA
"AB","X1497",84,"AF",14,0.5,3,0.5,0.5,8.88888888888889,0.5,5.55555555555556,0,120,7.5,0,0,1,"All","1",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"AB","X1342",56,"AB",159,1,3,1,1,15,46.6666666666667,10,15,15,30,1,0,40,"BD seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X1092",76,"AB",129,1,6,2,9,11,1,6,0,120,23,1,0,80,"SP seed","1",NA,NA,"ambient",1,0.0533333333333333
"AB","X854",28,"AB",43,0,3,7,1,75,17,10,0,0,13,9,0,6,"SP adult","0",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"AB","X825",94,"AF",87,7,3,1,0,120,1,7,6,0,17,22,0,8,"EG adults","0",NA,NA,"inoculation",0,0
"AB","X803",32,"AB",85,2,7,1,7,73.8888888888889,4,16,0,0,50,16,0,4,"EG adults","1",NA,NA,"ambient",0.333333333333333,0.00333333333333333
"AB","X1371",256,"AB",168,1,3,0,1,630,0,7,0,40,15,0,0,20,"BH seed","1",NA,NA,"fungicide",1,0.004
"AB","X1663",110,"AB",195,6,6,1,1,10,1,17.7777777777778,9,0,15,3,0,6,"EG adults","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X1067",268,"AB",125,5,8,1,2,20,0,10,0,40,17,5,0,6,"EG adults","1",NA,NA,"inoculation",1,0.0533333333333333
"AB","X1086",30,"AF",128,1,7,1,7,6,0,13.3333333333333,0,150,40,3,0,80,"SP seed","0",NA,NA,"ambient",1,0.01
"AB","X819",30,"AB",86,1,4,1,4,80,1,14,0,0,240,0,0,10,"SP seed","0",NA,NA,"ambient",0,0
"AB","X579",270,"AF",11,0.5,2,0.5,0.5,33.3333333333333,3,40,0,120,41.6666666666667,11.1111111111111,0,1,"All","0",NA,NA,"ambient",1,0.004
"AB","X1152",70,"AF",130,7,3,2,0,9,2,8.88888888888889,0,0,40,3,0,10,"EG adults","1",NA,NA,"ambient",1,0.05
"AB","X1094",86,"AB",38,1,5,8,0,27,1,11,0,0,50,7,0,8,"SP adult","1",NA,NA,"ambient",0.666666666666667,0.00666666666666667
"AB","X1053",54,"AB",123,1,5,1,2,990,3,17.7777777777778,0,30,20,6,0,10,"BH seed","0",NA,NA,"inoculation",0.666666666666667,0.00366666666666667
"AB","X554",370,"AF",72,1,4,1,5,4,1,8,0,240,4,29,0,40,"SP seed","0",NA,NA,"inoculation",0.666666666666667,0.00366666666666667
"AB","X524",98,"AF",21,0.5,3,0.5,0.5,40,3,7.77777777777778,14,30,25,0,0,1,"All","0",NA,NA,"ambient",0.666666666666667,0.000666666666666667
"AB","X1807",58,"AB",234,0,26.6666666666667,1,0,8,3,18,0,50,11,0,0,80,"EG seed","1",NA,NA,"inoculation",1,0.01
"AB","X791",128,"AF",83,1,7,1,1,16,3,17.7777777777778,0,40,22.2222222222222,2,0,40,"AB seed","0",NA,NA,"fungicide",0,0
"AB","X894",96,"AB",93,2,7,0,1,60,5,9,10,80,16,10,0,2,"EG adults","0",NA,NA,"fungicide",0,0
"AB","X1599",108,"AB",193,1,1,1,0,2790,0,26.6666666666667,30,0,16,4,0,100,"BH seed","1",NA,NA,"inoculation",1,0.01
"AB","X1561",72,"AF",20,0.5,1.5,0.5,0.5,75,0.5,13.3333333333333,0,25,120,0,0,1,"All","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X1226",76,"AB",141,1,4,4,8,225,8,5,0,150,20,4,0,100,"SP seed","1",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"AB","X1606",24,"AB",194,1,4,1,1,10,66.6666666666667,11,20,20,20,4,0,80,"BD seed","1",NA,NA,"fungicide",0.333333333333333,0.00333333333333333
"AB","X902",16,"AB",94,0,9,1,6,18,4,22.2222222222222,20,100,12,9,0,100,"SP seed","0",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"AB","X1241",62,"AF",143,0,60,1,1,120,5,33.3333333333333,8,0,120,12,0,20,"EG seed","1",NA,NA,"ambient",NA,NA
"AB","X927",84,"AB",99,1,6,1,4,9,26.6666666666667,70,0,80,120,8,0,40,"BD seed","0",NA,NA,"ambient",1,0.01
"AB","X558",116,"AB",18,0.5,1,0.5,1,4.44444444444444,0.5,8.88888888888889,0,45,60,0,20,1,"All","0",NA,NA,"ambient",1,0.001
"AB","X523",142,"AF",22,0,3,0.5,0,15,0.5,5.55555555555556,20,0,66.6666666666667,1.5,0,1,"All","0",NA,NA,"ambient",0.666666666666667,0.017
"AB","X1542",34,"AF",17,0.5,2,0.5,0,9,3,11.1111111111111,0,90,17.5,0,0,1,"All","1",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"AB","X1481",18,"AB",197,1,2,1,1,8,0,40,0,0,12,4,0,100,"AB seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X715",42,"AF",79,1,60,1,0,10,1,11,10,350,6,9,0,80,"EG seed","0",NA,NA,"fungicide",0,0
"AB","X734",48,"AF",82,1,3,1,0,15,0,50,0,150,100,5,0,100,"AB seed","0",NA,NA,"ambient",1,0.007
"AB","X1279",52,"AF",157,5,3,1,2,22,8,12,0,100,30,0,0,6,"EG adults","1",NA,NA,"ambient",0.333333333333333,0.00333333333333333
"AB","X1322",40,"AB",155,0,4,1,0,12,50,14,0,240,11,2,0,20,"BD seed","1",NA,NA,"inoculation",0.333333333333333,0.00333333333333333
"AB","X1331",128,"AB",158,0,8,1,7,24,2,7,0,15,20,0,0,10,"SP seed","0",NA,NA,"inoculation",0.333333333333333,0.000333333333333333
"AB","X1263",108,"AF",150,1,1,1,0,15,1,11.1111111111111,0,80,7,0,0,10,"AB seed","1",NA,NA,"inoculation",1,0.075
"AB","X1258",42,"AF",154,1,3,1,3,4,450,40,0,180,120,0,0,100,"BD seed","0",NA,NA,"inoculation",0.333333333333333,0.000333333333333333
"AB","X1321",166,"AB",144,0,2,1,2,125,2,11,0,0,60,1,0,20,"AB seed","0",NA,NA,NA,NA,NA
"AB","X1291",10,"AF",148,1,1,1,1,1615,0,33.3333333333333,75,30,80,2,0,40,"BH seed","0",NA,NA,"inoculation",NA,NA
"AB","X1419",210,"AB",174,1,5,1,0,20,1,8,0,0,35,0,2,20,"AB seed","0",NA,NA,"fungicide",0,0
"AB","X1623",50,"AB",190,1,3,1,0,2660,1,10,0,10,30,1,0,80,"BH seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X1546",46,"AF",18,0.5,1,0.5,1,4.44444444444444,0.5,8.88888888888889,0,45,60,0,20,1,"All","1",NA,NA,"inoculation",1,0.007
"AB","X1574",44,"AF",184,1,2,3,2,10,240,5,0,204.545454545455,6,0,0,80,"BD seed","1",NA,NA,"inoculation",1,0.05
"AB","X565",176,"AB",9,0.5,2,0.5,0.5,50,4,17.7777777777778,60,15,4.44444444444444,73.3333333333333,0,1,"All","0",NA,NA,"fungicide",1,0.004
"AB","X702",32,"AF",77,1,3,1,1,50,1,5,0,150,27.7777777777778,3,0,20,"SP seed","0",NA,NA,NA,NA,NA
"AB","X1117",40,"AF",50,0,11,1,1,16,3,11.1111111111111,0,60,0,8,0,4,"SP adult","1",NA,NA,"inoculation",0.666666666666667,0.02
"AB","X1306",56,"AF",146,1,2,1,4,60,3,66.6666666666667,2,40,60,2,0,40,"SP seed","0",NA,NA,"fungicide",0,0
"AB","X1315",38,"AF",144,0,2,1,2,125,2,11,0,0,60,1,0,20,"AB seed","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"AB","X1868",66,"AF",26,0.5,1,0.5,0,15,0.5,33.3333333333333,3,100,13.3333333333333,0,16.6666666666667,1,"All","1",NA,NA,"inoculation",0.666666666666667,0.00666666666666667
"AB","X1369",74,"AF",165,1,2,1,2,10,5,10,0,0,12,0,0,2,"EG adults","0",NA,NA,"fungicide",0.333333333333333,0.00333333333333333
"AB","X1358",48,"AF",59,0,2,4,2,16.6666666666667,5,22.2222222222222,0,13.3333333333333,120,0,0,2,"SP adult","0",NA,NA,"ambient",0,0
"AB","X1846",26,"AF",28,0.5,1.5,0,0,2,2,11.1111111111111,0,116.666666666667,11.1111111111111,0,13.3333333333333,1,"All","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"AB","X840",86,"AF",27,0.5,1,0.5,1,3.5,0.5,22.2222222222222,0,100,5,0,8.88888888888889,1,"All","0",NA,NA,"fungicide",1,0.004
"AB","X1856",68,"AF",30,0,0.5,0.5,0,4,0,44.4444444444444,0,150,8,0,16.6666666666667,1,"All","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X1851",80,"AF",29,0,2.5,0.5,0,3,0.5,8.88888888888889,0,106.666666666667,11.1111111111111,0,6.66666666666667,1,"All","1",NA,NA,"inoculation",0.666666666666667,0.00666666666666667
"AB","X1414",30,"AF",164,1,33.3333333333333,2,2,33.3333333333333,2,6,10,0,20,0,0,20,"EG seed","0",NA,NA,"fungicide",NA,NA
"AB","X530",66,"AF",3,0.5,2.5,1.5,0.5,20,0,16.6666666666667,180,100,33.3333333333333,26.6666666666667,0,1,"All","0",NA,NA,"fungicide",1,0.004
"AB","X537",62,"AF",4,0,2,2.5,0.5,8,0.5,7.5,50,300,2.77777777777778,11.1111111111111,0,1,"All","0",NA,NA,"ambient",1,0.0203333333333333
"AB","X1720",52,"AB",40,1,0,8,1,10,4,18,0,4.44444444444444,0,0,0,8,"SP adult","1",NA,NA,"inoculation",1,0.004
"AB","X1724",76,"AF",41,1,1,8,1,8,0,33.3333333333333,0,50,1,0,0,8,"SP adult","0",NA,NA,"ambient",1,0.004
"AB","X1713",74,"AB",211,0,35,1,0,8,1,40,0,0,18,2,0,80,"EG seed","1",NA,NA,"ambient",1,0.001
"AB","X1218",142,"AF",13,0.5,1,0.5,0,17.5,0.5,2.22222222222222,0,80,7.5,0,0,1,"All","1",NA,NA,"inoculation",1,0.001
"AB","X1208",102,"AF",58,1,9,1,1,24,1,7,0,60,18,0,0,2,"SP adult","1",NA,NA,"ambient",1,0.001
"AB","X1204",30,"AB",138,0,7,1,1,2470,2,14,0,60,2,0,0,80,"BH seed","0",NA,NA,"ambient",0.666666666666667,0.000666666666666667
"AB","X543",14,"AB",5,0,3,1,0.5,40,2,5,0,225,15,11.1111111111111,0,1,"All","0",NA,NA,"ambient",1,0.007
"AB","X908",58,"AB",95,1,7,1,10,13,4,5,0,140,3,16,0,40,"SP seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X1041",106,"AF",121,1,14,1,2,250,26.6666666666667,13.3333333333333,0,0,18,1,0,100,"BD seed","1",NA,NA,"ambient",0.333333333333333,0.00333333333333333
"AB","X1097",26,"AF",10,0.5,2,0.5,0.5,36.6666666666667,2,11.1111111111111,15,160,16.6666666666667,19.4444444444444,0,1,"All","0",NA,NA,NA,NA,NA
"AB","X1503",130,"AF",15,0.5,1.5,0.5,0,8,0.5,6,0,140,10,0,2.22222222222222,1,"All","0",NA,NA,"ambient",1,0.004
"AB","X1039",48,"AF",119,1,5,3,7,90,4,7,0,0,70,6,0,20,"SP seed","0",NA,NA,"inoculation",0.333333333333333,0.00333333333333333
"AB","X1014",42,"AF",117,3,2,2,4,12,4,10,5,0,50,5,0,4,"EG adults","0",NA,NA,"fungicide",0,0
"AB","X1001",88,"AF",115,1,3,5,2,22.2222222222222,60,13,0,0,90,40,0,40,"BD seed","1",NA,NA,"fungicide",0.333333333333333,0.00333333333333333
"AB","X1616",38,"AB",188,1,2,1,1,10,5,0,0,200,4,0,0,10,"AB seed","0",NA,NA,"ambient",NA,NA
"AB","X1532",76,"AF",16,0,1,0.5,1,5.5,0.5,3.5,0,140,10,0,4.44444444444444,1,"All","1",NA,NA,"inoculation",1,0.0055
"AB","X1874",52,"AF",24,0.5,1,0,0,7.5,0.5,16.6666666666667,0,80,12.5,0.5,0,1,"All","1",NA,NA,"ambient",0.5,0.025
"AB","X1026",60,"AF",119,1,5,3,7,90,4,7,0,0,70,6,0,20,"SP seed","0",NA,NA,"inoculation",1,0.007
"AB","X1174",6,"AF",133,1,70,1,1,12,12,35.5555555555556,0,0,40,17,0,80,"EG seed","0",NA,NA,"inoculation",NA,NA
"AB","X1019",92,"AF",118,1,4,2,3,35,3,14,20,0,60,10,0,10,"SP seed","0",NA,NA,"fungicide",0,0
"AB","X796",32,"AB",84,5,4,1,1,35.5555555555556,8,20,0,120,20,6,0,8,"EG adults","0",NA,NA,"ambient",0.666666666666667,0.00666666666666667
"AB","X1302",42,"AF",147,1,1,1,0,6,6,25,0,320,12,0,0,10,"BD seed","1",NA,NA,"ambient",0.333333333333333,0.00333333333333333
"AB","X1250",28,"AB",153,8,2,1,0,14,3,8,0,20,27,0,0,8,"EG adults","0",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"AB","X1582",6,"NO SEEDS",192,0,0,1,1,2185,1,19,15,0,9,0,0,80,"BH seed","0",NA,NA,"inoculation",NA,NA
"AB","X1487",34,"AB",12,0.5,2,0.5,2,10.5,7,2.22222222222222,0,40,12.5,0,0,1,"All","1",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"AB","X1653",4,"AB",196,0,2,1,0,1020,3,26.6666666666667,0,5,15,3,0,20,"BH seed","0",NA,NA,"ambient",NA,NA
"AB","X1636",32,"AF",199,0,1,4,2,0,10,8,0,60,8,0,0,40,"BD seed","0",NA,NA,"ambient",NA,NA
"AB","X1552",22,"AB",19,0.5,1.5,0.5,0.5,11.5,1,10,0,100,50,0.5,2.5,1,"All","0",NA,NA,"inoculation",1,0.0173333333333333
"AB","X1003",16,"AF",56,1,3,5,0,22.2222222222222,8,8.33333333333333,5,0,10,5,0,2,"SP adult","1",NA,NA,"inoculation",1,0.0366666666666667
"AB","X659",26,"AB",69,1,0,1,1,450,1,35.5555555555556,0,0,9,10,0,10,"BH seed","0",NA,NA,"fungicide",0.333333333333333,0.00333333333333333
"AB","X1010",10,"AF",116,1,2,1,1,900,4,22,0,0,4,9,0,100,"BH seed","0",NA,NA,"inoculation",NA,NA
"AB","X648",12,"AB",68,1,4,1,0,1330,2,13,0,9,6,12,0,20,"BH seed","0",NA,NA,"ambient",0.5,5e-04
"AB","X619",18,"NO SEEDS",63,1,5,1,2,3,7,17,0,160,39,11,0,10,"BD seed","0",NA,NA,"fungicide",1,0.007
"AB","X1232",26,"AF",142,1,160,0,0,60,8,10,0,150,16,0,0,40,"EG seed","0",NA,NA,"fungicide",0.666666666666667,0.00366666666666667
"AB","X1460",14,"AF",172,1,30,1,1,10,3,9,0,120,12,0,0,20,"EG seed","0",NA,NA,"ambient",NA,NA
"AB","X996",112,"AF",114,1,6,8,1,35.5555555555556,10,13.3333333333333,0,10,60,45,0,20,"AB seed","1",NA,NA,"ambient",1,0.001
"AB","X1286",12,"AB",149,2,2,1,7,9,1,7,5,10,25,0,0,40,"SP seed","0",NA,NA,"ambient",1,0.001
"AB","X730",12,"AF",81,1,0,1,3,960,0,38.8888888888889,0,23.3333333333333,6,4,0,100,"BH seed","0",NA,NA,"ambient",0.5,5e-04
"AB","X697",10,"AF",76,1,60,3,3,16.6666666666667,1,3,0,120,150,8,0,20,"EG seed","0",NA,NA,"inoculation",1,0.001
"AB","X1280",10,"AB",156,8,4,1,1,12,4,15,0,75,12,0,0,10,"EG adults","0",NA,NA,"inoculation",0,0
"AB","X1406",12,"NO SEEDS",78,0,1,1,0,16.6666666666667,0,17.7777777777778,6,135,25,12,0,40,"AB seed","0",NA,NA,"fungicide",NA,NA
"AB","X1522",156,"AB",22,0,3,0.5,0,15,0.5,5.55555555555556,20,0,66.6666666666667,1.5,0,1,"All","1",NA,NA,"ambient",0.333333333333333,0.00333333333333333
"AB","X1743",230,"AF",215,1,3,1,1,19,1,4,0,66.6666666666667,25,0,0,80,"SP seed","0",NA,NA,"fungicide",0,0
"AB","X1360",206,"AF",152,8,7,1,2,16,8,16,0,40,17,1,0,10,"EG adults","1",NA,NA,"ambient",1,0.0366666666666667
"AB","X1815",122,"AF",53,1,1,1,0,10,0,8,0,0,8,0,0,4,"SP adult","1",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"AB","X1569",252,"AB",183,1,2,1,0,12,1,23.3333333333333,0,70,0,0,0,80,"AB seed","0",NA,NA,"fungicide",0,0
"AB","X1272",210,"AB",151,1,1,1,1,14,9,8,0,50,2,6,0,10,"BD seed","0",NA,NA,"fungicide",0.666666666666667,0.00366666666666667
"AB","X1515",154,"AF",181,1,18,1,0,1,6,22.2222222222222,0,100,1,0,0,10,"EG seed","0",NA,NA,"fungicide",0,0
"AB","X1584",516,"AB",186,1,2,1,0,12,0,3,0,23,14,0,5,10,"AB seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"BD","X1852",7,"",29,0,2.5,0.5,0,3,0.5,8.88888888888889,0,106.666666666667,11.1111111111111,0,6.66666666666667,1,"All","0",NA,NA,"inoculation",NA,NA
"BD","X1855",1,"",30,0,0.5,0.5,0,4,0,44.4444444444444,0,150,8,0,16.6666666666667,1,"All","0",NA,NA,"fungicide",NA,NA
"BD","X1848",57,"",28,0.5,1.5,0,0,2,2,11.1111111111111,0,116.666666666667,11.1111111111111,0,13.3333333333333,1,"All","0",NA,NA,"fungicide",NA,NA
"BD","X1841",35,"",27,0.5,1,0.5,1,3.5,0.5,22.2222222222222,0,100,5,0,8.88888888888889,1,"All","0",NA,NA,"inoculation",NA,NA
"BD","X1539",11,"",17,0.5,2,0.5,0,9,3,11.1111111111111,0,90,17.5,0,0,1,"All","0",NA,NA,"ambient",NA,NA
"BD","X991",18,"",114,1,6,8,1,35.5555555555556,10,13.3333333333333,0,10,60,45,0,20,"AB seed","0",NA,NA,"ambient",0,0
"BD","X1038",28,"",120,1,2,2,5,25,5,8.88888888888889,0,0,18,11,0,40,"SP seed","0",NA,NA,"inoculation",0.333333333333333,0.000333333333333333
"BD","X1622",18,"",189,1,26.6666666666667,1,0,13,3,10,0,60,20,0,0,20,"EG seed","0",NA,NA,"fungicide",NA,NA
"BD","X1533",17,"",16,0,1,0.5,1,5.5,0.5,3.5,0,140,10,0,4.44444444444444,1,"All","0",NA,NA,"inoculation",0,0
"BD","X1742",41,"",215,1,3,1,1,19,1,4,0,66.6666666666667,25,0,0,80,"SP seed","0",NA,NA,"fungicide",NA,NA
"BD","X1557",18,"",20,0.5,1.5,0.5,0.5,75,0.5,13.3333333333333,0,25,120,0,0,1,"All","0",NA,NA,"fungicide",1,0.01
"BD","X1008",6,"",116,1,2,1,1,900,4,22,0,0,4,9,0,100,"BH seed","0",NA,NA,"inoculation",NA,NA
"BD","X1004",43,"",56,1,3,5,0,22.2222222222222,8,8.33333333333333,5,0,10,5,0,2,"SP adult","0",NA,NA,"inoculation",0.666666666666667,0.0333333333333333
"BD","X983",28,"",112,1,5,1,0,1235,1,66.1111111111111,0,30,12,15,0,40,"BH seed","0",NA,NA,"ambient",NA,NA
"BD","X1032",79,"",119,1,5,3,7,90,4,7,0,0,70,6,0,20,"SP seed","0",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"BD","X1640",8,"",200,1,0,1,0,11,0,31.1111111111111,0,10,1,0,0,100,"AB seed","0",NA,NA,"inoculation",NA,NA
"BD","X1625",1,"",190,1,3,1,0,2660,1,10,0,10,30,1,0,80,"BH seed","0",NA,NA,"fungicide",NA,NA
"BD","X1830",17,"",23,0.5,3,0.5,1,10.5,0.5,41.6666666666667,40,41.6666666666667,13.8888888888889,0,0.555555555555556,1,"All","0",NA,NA,"fungicide",NA,NA
"BD","X1016",89,"",117,3,2,2,4,12,4,10,5,0,50,5,0,4,"EG adults","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"BD","X1722",45,"",40,1,0,8,1,10,4,18,0,4.44444444444444,0,0,0,8,"SP adult","0",NA,NA,"inoculation",NA,NA
"BD","X1889",21,"",25,0,1,0,0,5.5,1,41.6666666666667,4,80,11.1111111111111,0,11.1111111111111,1,"All","0",NA,NA,"inoculation",NA,NA
"BD","X1637",22,"",199,0,1,4,2,0,10,8,0,60,8,0,0,40,"BD seed","0",NA,NA,"ambient",NA,NA
"BD","X316",113,"",121,1,14,1,2,250,26.6666666666667,13.3333333333333,0,0,18,1,0,100,"BD seed","0",NA,NA,"ambient",1,0.007
"BD","X1662",35,"",197,1,2,1,1,8,0,40,0,0,12,4,0,100,"AB seed","0",NA,NA,"fungicide",NA,NA
"BD","X1588",2,"",185,2,4,1,1,21,1,7,0,40,6,0,0,2,"EG adults","0",NA,NA,"inoculation",NA,NA
"BD","X1654",13,"",196,0,2,1,0,1020,3,26.6666666666667,0,5,15,3,0,20,"BH seed","0",NA,NA,"ambient",NA,NA
"BD","X1597",7,"",192,0,0,1,1,2185,1,19,15,0,9,0,0,80,"BH seed","0",NA,NA,"inoculation",NA,NA
"BD","X1580",22,"",194,1,4,1,1,10,66.6666666666667,11,20,20,20,4,0,80,"BD seed","0",NA,NA,"fungicide",NA,NA
"BD","X1648",15,"",195,6,6,1,1,10,1,17.7777777777778,9,0,15,3,0,6,"EG adults","0",NA,NA,"fungicide",NA,NA
"BD","X1576",42,"",184,1,2,3,2,10,240,5,0,204.545454545455,6,0,0,80,"BD seed","0",NA,NA,"inoculation",NA,NA
"BD","X1510",93,"",183,1,2,1,0,12,1,23.3333333333333,0,70,0,0,0,80,"AB seed","0",NA,NA,"fungicide",NA,NA
"BD","X1600",22,"",193,1,1,1,0,2790,0,26.6666666666667,30,0,16,4,0,100,"BH seed","0",NA,NA,"inoculation",NA,NA
"BD","X1451",12,"",175,2,2,1,3,18,3,5,0,0,36.6666666666667,0,0,2,"EG adults","0",NA,NA,"ambient",NA,NA
"BD","X1461",27,"",172,1,30,1,1,10,3,9,0,120,12,0,0,20,"EG seed","0",NA,NA,"ambient",NA,NA
"BD","X1437",28,"",177,1,1,1,5,17,5,45,0,0,90,3,0,80,"SP seed","0",NA,NA,"inoculation",1,0.001
"BD","X1467",11,"",171,1,1,1,0,990,1,17.7777777777778,0,100,5,1,0,40,"BH seed","0",NA,NA,"ambient",0,0
"BD","X1054",11,"",123,1,5,1,2,990,3,17.7777777777778,0,30,20,6,0,10,"BH seed","0",NA,NA,"inoculation",NA,NA
"BD","X998",66,"",115,1,3,5,2,22.2222222222222,60,13,0,0,90,40,0,40,"BD seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"BD","X287",63,"",191,1,0,1,1,420,240,7,10,2.77777777777778,8.88888888888889,3,0,80,"BD seed","0",NA,NA,"ambient",NA,NA
"BD","X1021",27,"",118,1,4,2,3,35,3,14,20,0,60,10,0,10,"SP seed","0",NA,NA,"fungicide",0,0
"BD","X1521",114,"",22,0,3,0.5,0,15,0.5,5.55555555555556,20,0,66.6666666666667,1.5,0,1,"All","0",NA,NA,"ambient",0,0
"BD","X1444",153,"",176,7,1,1,1,24,4,20,0,0,30,2,0,8,"EG adults","0",NA,NA,"fungicide",0.5,5e-04
"BD","X1527",101,"",21,0.5,3,0.5,0.5,40,3,7.77777777777778,14,30,25,0,0,1,"All","0",NA,NA,"fungicide",NA,NA
"BD","X758",61,"",173,1,7,1,2,5,630,13.8888888888889,0,0,30,2,0,100,"BD seed","0",NA,NA,"inoculation",NA,NA
"BD","X1565",58,"",182,1,1,1,2,1995,1,14,0,30,5,0,0,100,"BH seed","0",NA,NA,"fungicide",NA,NA
"BD","X1513",73,"",181,1,18,1,0,1,6,22.2222222222222,0,100,1,0,0,10,"EG seed","0",NA,NA,"fungicide",NA,NA
"BD","X526",8,"",2,1,1.5,2,1.5,55.5555555555556,2,26.6666666666667,40,55.5555555555556,31.1111111111111,13.3333333333333,0,1,"All","0",NA,NA,"ambient",0.5,5e-04
"BD","X539",11,"",5,0,3,1,0.5,40,2,5,0,225,15,11.1111111111111,0,1,"All","0",NA,NA,"ambient",0.333333333333333,0.000333333333333333
"BD","X560",69,"",8,0.5,3.5,2,1.5,400,2,6.5,15,0,53.3333333333333,23.3333333333333,0,1,"All","0",NA,NA,"ambient",1,0.004
"BD","X549",28,"",6,0,2.5,2,1.5,13.3333333333333,0.5,6.66666666666667,15,120,2.22222222222222,11.1111111111111,0,1,"All","0",NA,NA,"inoculation",1,0.0203333333333333
"BD","X552",48,"",7,0,1.5,0.5,0,16.6666666666667,3,11.1111111111111,100,100,2.77777777777778,33.3333333333333,0,1,"All","0",NA,NA,"inoculation",1,0.001
"BD","X819",91,"",9,0.5,2,0.5,0.5,50,4,17.7777777777778,60,15,4.44444444444444,73.3333333333333,0,1,"All","0",NA,NA,"ambient",0,0
"BD","X975",39,"",106,0,1,1,0,18,61.1111111111111,20,0,75,16,30,0,10,"BD seed","0",NA,NA,"ambient",1,0.0055
"BD","X1051",137,"",122,1,7,1,1,16.6666666666667,13.3333333333333,16.6666666666667,0,100,10,2,0,20,"BD seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"BD","X43",227,"",102,1,7,1,0,44.4444444444444,124.444444444444,46.6666666666667,0,0,2,10,0,100,"BD seed","0",NA,NA,NA,NA,NA
"BD","X960",11,"",104,1,2,2,10,30,1,0,25,0,160,4,0,10,"SP seed","0",NA,NA,"ambient",0.5,5e-04
