"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","SP.adult","BH","BD","Avena","Forb","Fabaceae","BRADIS","FEMY","POA","treat","Plot","trans","ind","rust","prop.dam.mini","mean.dam.mini","prop.dam","mean.dam"
"BH","BH1",16,"","1.E.ambient",1,1,100,0,150,70,66.6666666666667,480,0,0,"ambient","E",1,"1.E.ambient.BH1","0",NA,NA,NA,NA
"BH","BH1",3,"TOO LIGHT; <0.01","6.A.inoculation",4,8,300,0,58.3333333333333,250,0,75,0,0,"inoculation","A",6,"6.A.inoculation.BH1","0",NA,NA,NA,NA
"BH","BH3",5,"TOO LIGHT; <0.01","6.A.inoculation",4,8,300,0,58.3333333333333,250,0,75,0,0,"inoculation","A",6,"6.A.inoculation.BH3","0",NA,NA,NA,NA
"BH","BH2",8,"","5.C.inoculation",0,5,3,0,27.7777777777778,720,0,0,0,0,"inoculation","C",5,"5.C.inoculation.BH2","0",NA,NA,NA,NA
"BH","BH1",4,"TOO LIGHT; <0.01","6.A.fungicide",6,8,300,350,100,10,4,0,0,0,"fungicide","A",6,"6.A.fungicide.BH1","0",NA,NA,NA,NA
"BH","BH3",8,"","1.E.ambient",1,1,100,0,150,70,66.6666666666667,480,0,0,"ambient","E",1,"1.E.ambient.BH3","0",NA,NA,NA,NA
"BH","BH3",30,"","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.BH3","0",NA,NA,NA,NA
"BH","BH2",53,"","1.E.ambient",1,1,100,0,150,70,66.6666666666667,480,0,0,"ambient","E",1,"1.E.ambient.BH2","0",NA,NA,NA,NA
"BD","X410",4,"","3.A.ambient",1,9,5,2,23.3333333333333,80,0,0,0,0,"ambient","A",3,"3.A.ambient.X410","0",NA,NA,NA,NA
"BD","BD2",5,"","4.A.inoculation",0,12,100,4,15,3,300,80,0,0,"inoculation","A",4,"4.A.inoculation.BD2","0",NA,NA,NA,NA
"BH","BH3",0,"TOO LIGHT; <0.01","5.E.inoculation",1,0,1800,100,150,200,3,0,0,0,"inoculation","E",5,"5.E.inoculation.BH3","0",NA,NA,NA,NA
"BD","X512",59,"","1.E.ambient",1,1,100,0,150,70,66.6666666666667,480,0,0,"ambient","E",1,"1.E.ambient.X512","0",NA,NA,NA,NA
"EG","EG1",3851,"","5.E.inoculation",1,0,1800,100,150,200,3,0,0,0,"inoculation","E",5,"5.E.inoculation.EG1","0",NA,NA,1,0.0533333333333333
"AB","AB3",7,"AF","4.A.fungicide",0,12,266.666666666667,4,133.333333333333,0,0,10,0,0,"fungicide","A",4,"4.A.fungicide.AB3","0",NA,NA,NA,NA
"SP","X496",2,"","8.E.ambient",1,1,1,22.2222222222222,66.6666666666667,360,0,0,0,0,"ambient","E",8,"8.E.ambient.X496","0",NA,NA,1,0.01
"AB","AB2",2,"NO SEEDS","4.A.fungicide",0,12,266.666666666667,4,133.333333333333,0,0,10,0,0,"fungicide","A",4,"4.A.fungicide.AB2","0",NA,NA,NA,NA
