"plant.ID","Species","SP.adult","EG.adult","BH","BD","Avena","mean.dam","area","Seed.estimate"
93.0.X893,BD,0.0,2.0,60.0,5.0,9.0,0.0,nan,40
110.0.X1116,BD,1.0,1.0,88.8888888889,1.0,126.666666667,0.0005,nan,51
88.0.X856,BD,1.0,0.0,40.0,5.0,8.0,0.000666666666667,nan,84
50.0.X1118,BD,1.0,0.0,16.0,3.0,11.1111111111,0.000666666666667,nan,35
94.0.X899,BD,1.0,0.0,18.0,4.0,22.2222222222,0.0005,nan,29
19.0.X1550,BD,0.5,0.5,11.5,1.0,10.0,0.001,nan,88
202.0.X1690,BD,1.0,0.0,7.0,1.0,1.0,NA,nan,23
32.0.X1125,BD,8.0,1.0,12.0,8.0,13.0,NA,nan,7
105.0.X970,BD,0.0,1.0,19.0,2.0,23.3333333333,0.0,nan,84
92.0.X891,BD,1.0,2.0,640.0,2.0,5.0,NA,nan,10
108.0.X1102,BD,1.0,1.0,53.3333333333,6.0,17.7777777778,0.001,nan,26
109.0.X1106,BD,1.0,1.0,22.2222222222,1.0,8.0,NA,nan,21
187.0.X282,BD,1.0,1.0,12.0,66.1111111111,5.0,NA,nan,225
90.0.X877,BD,1.0,1.0,83.3333333333,1.0,14.0,0.0,nan,90
111.0.X1130,BD,1.0,1.0,9.0,11.1111111111,38.8888888889,0.0255,nan,35
188.0.X1611,BD,1.0,1.0,10.0,5.0,0.0,0.01,nan,254
153.0.X1248,BD,1.0,8.0,14.0,3.0,8.0,0.0,nan,6
113.0.X989,BD,3.0,1.0,33.3333333333,22.2222222222,26.6666666667,0.001,nan,78
165.0.X1370,BD,1.0,1.0,10.0,5.0,10.0,0.001,nan,15
83.0.X792,BD,1.0,1.0,16.0,3.0,17.7777777778,0.000666666666667,nan,24
66.0.X635,BD,2.0,4.0,13.3333333333,1.0,9.0,0.0,nan,7
75.0.X695,BD,1.0,1.0,380.0,1.0,4.0,0.0,nan,44
43.0.X853,BD,7.0,0.0,75.0,17.0,10.0,0.000333333333333,nan,43
74.0.X788,BD,1.0,1.0,3.0,3.0,17.0,0.0,nan,7
145.0.X1314,BD,1.0,1.0,17.7777777778,5.0,7.0,NA,nan,35
124.0.X1061,BD,1.0,1.0,420.0,2.0,22.2222222222,0.005,nan,28
154.0.X753,BD,1.0,1.0,4.0,450.0,40.0,NA,nan,46
133.0.X1175,BD,1.0,1.0,12.0,12.0,35.5555555556,NA,nan,30
76.0.X702,BD,3.0,1.0,16.6666666667,1.0,3.0,NA,nan,49
135.0.X1187,BD,1.0,1.0,17.0,1.0,41.6666666667,NA,nan,5
130.0.X1154,BD,2.0,7.0,9.0,2.0,8.88888888889,0.01,nan,39
134.0.X1183,BD,1.0,3.0,23.0,3.0,6.0,0.000333333333333,nan,47
85.0.X804,BD,1.0,2.0,73.8888888889,4.0,16.0,NA,nan,100
137.0.X1197,BD,1.0,8.0,40.0,7.0,11.0,NA,nan,44
39.0.X1162,BD,8.0,0.0,21.0,1.0,14.0,0.004,nan,131
13.0.X1493,BD,0.5,0.5,17.5,0.5,2.22222222222,NA,nan,17
14.0.X1498,BD,0.5,0.5,8.88888888889,0.5,5.55555555556,NA,nan,12
180.0.X1482,BD,1.0,1.0,450.0,14.0,7.0,0.000333333333333,nan,47
12.0.X1486,BD,0.5,0.5,10.5,7.0,2.22222222222,0.000333333333333,nan,80
234.0.X1806,BD,1.0,0.0,8.0,3.0,18.0,NA,nan,15
138.0.X1207,BD,1.0,0.0,2470.0,2.0,14.0,NA,nan,17
179.0.X1425,BD,1.0,0.0,5.0,1.0,25.0,NA,nan,49
148.0.X1292,BD,1.0,1.0,1615.0,0.0,33.3333333333,NA,nan,15
142.0.X1235,BD,0.0,1.0,60.0,8.0,10.0,NA,nan,53
143.0.X1244,BD,1.0,0.0,120.0,5.0,33.3333333333,0.000333333333333,nan,3
166.0.X1373,BD,1.0,1.0,14.0,12.0,8.0,NA,nan,34
59.0.X1333,BD,4.0,0.0,16.6666666667,5.0,22.2222222222,0.0,nan,34
51.0.X1239,BD,5.0,1.0,26.6666666667,4.0,8.0,0.000666666666667,nan,83
169.0.X1387,BD,1.0,1.0,7.0,1.0,46.6666666667,NA,nan,18
38.0.X1170,BD,8.0,1.0,27.0,1.0,11.0,0.0,nan,54
155.0.X1323,BD,1.0,0.0,12.0,50.0,14.0,NA,nan,95
73.0.X778,BD,1.0,1.0,17.0,4.0,18.0,0.0,nan,37
127.0.X1081,BD,1.0,1.0,12.0,1.0,16.6666666667,NA,nan,16
68.0.X647,BD,1.0,1.0,1330.0,2.0,13.0,0.001,nan,13
164.0.X1415,BD,2.0,1.0,33.3333333333,2.0,6.0,NA,nan,61
37.0.X814,BD,7.0,1.0,6.0,5.0,4.0,0.001,nan,14
152.0.X1359,BD,1.0,8.0,16.0,8.0,16.0,NA,nan,19
151.0.X1270,BD,1.0,1.0,14.0,9.0,8.0,NA,nan,16
44.0.X1146,BD,5.0,0.0,27.0,0.0,17.0,NA,nan,37
174.0.X1420,BD,1.0,1.0,20.0,1.0,8.0,NA,nan,121
57.0.X1159,BD,0.0,1.0,55.5555555556,7.0,8.88888888889,0.01,nan,86
70.0.X660,BD,1.0,0.0,40.0,1.0,9.0,NA,nan,6
79.0.X716,BD,1.0,1.0,10.0,1.0,11.0,0.000333333333333,nan,62
158.0.X1328,BD,1.0,0.0,24.0,2.0,7.0,0.000666666666667,nan,22
86.0.X820,BD,1.0,1.0,80.0,1.0,14.0,0.0,nan,13
